user,item,rating
ORG1SNQ0TV16NQP6ZB5SD9XGX1FP7,MobileCable,2
ORG441VE999BMCTYGZ0H7HDWHGX62,OTGPendrive,2
ORG7L1NRFQZTPDJRFXC0CQ1LXLY6E,MobileScreenGuard,3
ORGBYFYMG92YFDC043NG7PZEHEPTS,MobileScreenGuard,2
ORGLZH07SFPSFQ3RZJMCV85XKKDKE,Smartphone,5
ORGMBN2841ZDJDZD4HHEN28HB5YYP,Headphone,1
ORGN30H876VWNQE14ST7M62WMV0E4,Motherboard,1
ORG0B5R4FS8TQQDKZ18K1GJFGQH82,Pendrive,1
ORG10SJLWZ8NSC844QERG64LHHNS4,Pendrive,2
ORG1HCT7R8Y65CMQ4KXJL1YYDTESB,LaptopSkin,2
ORG2JPWWVRYTT84CF6P6JYGMFPSH6,Mobile,4
ORG4L9HMV6SGMC76ZEKW1KP4KLL44,Smartphone,3
ORG78W2MZBCTXDQ2FJQNDL7QSSN6B,Smartphone,2
ORG7RG2890245QXKGN2094M9L4YR1,OpenBoxSmartRefurbishedphones,0
ORGBVCQ4BZTNFCHVZRMGYKEENYBZD,Smartphone,1
ORGGB38N6P6CN8S4GW6VT67223RTJ,MobileCharger,0
ORGK3M5GBJD1VCP5GWFQYSMVGP8ZN,Mobile,1
ORGKG8YF3MQM5DG3G07QNJQ8QJN41,Monitors,2
ORGLZLV0E8HWBD0WFH218HQ2J4YRK,CCTVcable,3
ORGM062WC17EJ8F2GHHRN13GYL6TC,Smartphone,1
ORGMZ94K9M13CQRJ4P834PDNNKKXX,Computercable,2
ORGXC8EJMFWDM8GQ4JVGSXHDXQK95,Mobile,2
ORG48YYCH1G20DGJZWKE6E7NLSV7T,ComputerSecuritySoftware,0
ORG66D691YK5VDX0Z9NVK6TDBGMWT,Pendrive,2
ORGF8ND619J3B8E9GJXC43ZKYP7WV,RAM,3
ORGG42W0ZGZN5QT3FE7TTZ7X5Q9Q4,Pendrive,3
ORGG84GDHRKWN8TJZF9RRPVQVD1WZ,MobileCaseCover,0
ORGMDQPV93EX58N24RYF00VYPLWLP,MobileScreenGuard,0
ORGN42SLTX7YQQYZFNVCYGL9HR5R8,Vrbox,4
ORGZCX6GL7MQXQB0ZC4FZ7K1DEKJY,Headphone,5
ORG02JR0M1TY2Q5YG3340KC27M8Y4,Mobile,0
ORG6FJDMVV5FNQTCGN4Z2SVF884SN,Smartphone,0
ORG6TRCRCFCHC8HPZJQSKSB8D7W4Y,Mobile,3
ORG6VYYNCGXGFC6FFEPE0HEFRC5RM,MobileCharger,5
ORGFE9K2CVD1SD70F2QPE5KQVR7QM,MobileCharger,4
ORGG7X3QYE73TDDKFKM07EZVVMGN3,Headphone,4
ORGGZZMB0GB0T8V2ZSD8X4YHPJ6DG,Speaker,0
ORGKMH6P8TDC2Q2RZ3X9D7CT72R4Z,MobileCable,1
ORGM5X8G427YXQT7ZJFKDWCP1NQXR,MobileCharger,3
ORGZ4QYWVSTD080LZ180FT6J7DMXZ,MobileCable,3
ORG0699TJXY2B89CGF4QM3YHGRR6X,Mobile,1
ORG62XMBP64LX8C441BDFMZV32G3C,MobileAccLens,0
ORG6ZMMZ2HQ95DYV4E8VYRKPFN635,Trimmer,0
ORG7C3J427GRX805F53Z9DN2W0JXY,Headphone,4
ORGEPZ2NYEZYFQZK4E4JF43CMX6B8,CCTV,5
ORGKNQML4PB7M8N2Z2W12KXE1X71R,Mobilereparingtool,5
ORGL5YDREHR4PC7CFMZWNBDKV1XKB,Mobilespareparts,0
ORGXBM6CB26MJCG4FWC971D8F1LV0,MobileCable,2
ORGZ9TW6CX5PF8QHF0HQG9W6S9ZMB,Powerbank,0
ORG29X54PV7W2QYSZSQW4RHEDRQ5F,Headphone,0
ORG44VLCXSBCFD21GNCBDCNGL8H19,Mobile,2
ORG6TRCRCFCHC8HPZJQSKSB8D7W4Y,MobileCable,3
ORG7FQZGG9415QSJ4E64CM7YZE0PS,Headphone,3
ORGLGES233KV58BFFRQKE3367CQT4,Emergencylight,3
ORGM3H3GW5PGT8EDF7B4XHQ4076WE,MobileStandAndHolder,1
ORGXWYZ5ZWSXCDJ84J60M3W7ZVWRV,Smartphone,1
ORGXZFFKFWW6QD0RFFMXG5NVC7SW6,Headphone,4
ORGZM3Q2TH5LBCXVZ1WRM6BMH7M7V,MobileSpeaker,2
ORG0LFLTKZHE2CW343SYE6ESC2TZY,Headphone,3
ORG1GNH4WDWBC8FKZCZL8VNW7T0D2,MobileCharger,4
ORG2ZMD6M5QTZQLGZ23TLFCDB106K,Headphone,1
ORG4NEW18QJ928V5ZBDHT15YJZZ95,Mobile,4
ORGF2C571FVHS8T0G4QBSGTC44HY1,MobileCharger,1
ORGG6WJ3F3EE0DH7G744HFHXMVZ35,Mobile,1
ORGMLWXQTENZNQK4FE6M710TTN0YR,Mobile,0
ORGXFW2KBKPX0CEPFNSHC0WF026JS,MobileBattery,1
ORGXQXB9DFME58Z0G858MQC55NDY3,Smartphone,4
ORGXVY2W05RBQD12ZTVNBD5QRXN0Q,Headphone,0
ORGZM4Y1YJNKVC45ZL1RS7XYB4G2R,MemoryCard,1
ORG0J6TM8VCS58GTGLBLZJFHEMSNT,Smartphone,1
ORG4L5BPPXSF5D09FVVZZZPWV8G8W,MobileSpeaker,2
ORGE30T061DEV8NWGECREZTRM5CF2,MobileBattery,0
ORGGYBN6KK5R08LHG2LTHVFEMXZ67,Speaker,0
ORGKE9RHJ5870QKLG1DH5K34MH73B,Headphone,4
ORGMX72DZHE35DKNFQ9SFXG3DPL26,Headphone,2
ORGNT6ZQWFKYCQDEZVXPLY631JGDK,SmartWatch,1
ORG62D2D5GTK0DGCG1T3H7ZJ74VLV,Computercable,2
ORG77SL7FKNMF84DZ61L5Y434EWZL,MobileCaseCover,3
ORGFN945WWQVSQY9Z99QB3HCMTDN5,MobileScreenGuard,1
ORGL4K82SCXSM8EWF99EWLE7XPP3Y,MobileCable,4
ORGLCPL9P80E5QXXFVXWM8DB0DTYW,MobileSpeaker,0
ORGM63HFC82DX88CZV42K7DGHJ1RG,Mobile,1
ORGNQNWEN93DZ88WZP511HJZ4ZN2M,Smartphone,4
ORG4EP7GE78Z289Y4JGFZWZXGL91R,Motherboard,3
ORG63WE5HJBPVD4HZF9W2813XYND8,MobileSpeaker,3
ORG65KN03HFCX8RQFLZSEB5V25NXK,MobileCaseCover,4
ORGEXFRJXPMFVC2CF8EDSJKPZZLGJ,Pendrive,0
ORGG5JY61TZPMDVWFNZXDPYT5KP7Y,Smartphone,4
ORGK44FHLFE928P3GDY6WWV3DYZJR,Powerbank,3
ORGL0SC90BQMMDG3ZD8FVQTK8MPP9,Pendrive,3
ORG1DB39R6LGN8XB4HR275P9ZCD0N,Mobile,3
ORG63JP0JH2M28GPZL9CRHWQPVWER,MobileSpeaker,3
ORGG3D1CCBCLNCF6ZE60KRT7ZZE7D,Smartphone,2
ORGNY4PWMT1YVQXGG0154GR659Q82,Mobile,0
ORGXWSDXP15CTCPJ4HWK0D8ZR4GXS,Headphone,2
ORG1CBPT9WS9XDT0ZPFC6ESBTBBR0,Mobile,4
ORG1Y6KZCT0XVDLVFB7HTEDD7GLZV,Headphone,4
ORG2EG4F1PQS0DXW4CB5ZETLMTMQY,Mobile,3
ORG2Y63X0JTYN8SR4R3868EBNMZBR,MobileSpeaker,5
ORG411D36BD1QC5PZP0N8HH2TGNVZ,MobileScreenGuard,2
ORG4V6FC35PNN8DJZFM89M865LK91,Printercartridge,1
ORG7124CN1BXSQM74YF1G50Y31TGS,Mobile,0
ORGEPZ2NYEZYFQZK4E4JF43CMX6B8,MemoryCard,2
ORGFVERN8Z2RCQHG4W24CK2NV5JGQ,Mobile,2
ORGMQ252RR80BCS2FTTKKCL3M3TMC,Mobile,3
ORGNZM7Q8XCWV8RBZZHV3VCD6TKM3,Headphone,1
ORG0B5R4FS8TQQDKZ18K1GJFGQH82,MobileBattery,2
ORG2WMB3T5X128XPGZ3LFBBKLD9Y2,Powerbank,2
ORG4LYQ4YJN9SC4D447BQ5X1VLSYB,Powerbank,2
ORGN90DG1Y7BZD6546RZH2E17HT8D,MobileSpeaker,4
ORGX0Z9KY566PC2JFCZ9P2CPFYVVZ,Computercable,5
ORGXCT3BX2C3ZCD0F60Q9F0QZRLNK,Headphone,3
ORG12CRKLB5KTQTSZM7BX37VLVDBQ,Headphone,0
ORG14ZH038V7XD9D4SEN6JZ1KJJ77,Headphone,1
ORG1J4JTYEKCQQGSZ9HHTVFJLK9XZ,Headphone,2
ORG26Q5F2JWBJQZ244T6TTL85XGQS,Powerbank,1
ORG67ZDEFH3RNDY4ZKT86WW90J30K,MobileCable,2
ORG6M3CD8NY3ZQXQGFRL9XCWQT2MR,MobileCaseCover,2
ORG7FE3X1MY85DD8ZW23EFFT7V5QY,MobileScreenGuard,2
ORGB580YVJ1YJCDWZ2FTWG4RYX50Z,HardDriveEnclosure,0
ORGBSFS12B9JXCRHFXVMBBDJQ2Q41,Smartphone,2
ORGE65875J5K28W7F1MRVGJ4PGDQY,Fidgetspinner,4
ORGG299Q06J1FQHHZN19EJC7CNDZQ,Smartphone,3
ORG0HERM6Z9H2CCX4V2RY9W9NY3X9,DeadSmartRefurbishedphones,5
ORG4SZQTLQ5XJCMX4PX4319ZQ6RZG,MobileCaseCover,3
ORGL8BWVZ57RNCNT4S4QPN8YZ3F9C,MobileScreenGuard,1
ORGZSMN5BS5KMDMD46T9JYGK3QBR4,MobileBattery,3
ORG1LQQX30PE0CM1GCQETMNFKZ31B,ComputerSecuritySoftware,1
ORG4LQV89VJXQQSLFXJZ7BELCRT8C,MobileCaseCover,0
ORG60DCJ7NRTTCX1GZR0N7ZWBH7ZN,MobileBattery,4
ORG65EEKBMMH5QC1G4GQNLVP009XE,Pendrive,5
ORGF05H3LPJQNC1GZXZG5NWV0QW6R,MobileCable,2
ORGF0LMYGV8WFDCM43C8YP7EKJKE6,MemoryCard,0
ORGL27JTP9YSXD8YFZKW4FM22T0DY,Headphone,4
ORGL51TFKKYBPQSSGKSX9KX00MMNW,MobileCable,1
ORGXPX6Y9Y79F8RHF6PB3P7FQ85K3,ComputerMouse,3
ORGZHYCCFS1CP8K943NTQREELRLLY,NetworkRouter,1
ORGZR767ZERRSQY24775BQXCTL29J,Smartband,0
